id,type,logic
CACNA1C,gene,
CACNA1D,gene,
CACNA1E,gene,
CACNA1F,gene,
CACNA1S,gene,
CACNA2D1,gene,
CACNB1,gene,
CACNB2,gene,
CACNB3,gene,
CACNB4,gene,
CACNG1,gene,
CACNA1I,gene,
CACNA1H,gene,
CACNA1G,gene,
CACNA2D2,gene,
CACNA2D4,gene,
fu:2cd7b4eb,functional_unit,OR
NR4A1,gene,
fu:8a3c1629,functional_unit,SINGLE
MAPK7,gene,
fu:6f9148dd,functional_unit,SINGLE
MAP2K5,gene,
fu:008da911,functional_unit,SINGLE
NLK,gene,
fu:0f15d3fb,functional_unit,SINGLE
CDC25B,gene,
fu:b50995df,functional_unit,SINGLE
RPS6KA4,gene,
RPS6KA5,gene,
fu:2eea9343,functional_unit,OR
MAPKAPK3,gene,
MAPKAPK2,gene,
fu:2f2688fe,functional_unit,OR
ATF4,gene,
fu:7faa1901,functional_unit,SINGLE
MEF2C,gene,
fu:2116151a,functional_unit,SINGLE
MAX,gene,
fu:ea91aaf8,functional_unit,SINGLE
DDIT3,gene,
fu:5e74f2da,functional_unit,SINGLE
ELK4,gene,
fu:1c048942,functional_unit,SINGLE
TP53,gene,
fu:54f41dd2,functional_unit,SINGLE
ELK1,gene,
fu:3d26cc2b,functional_unit,SINGLE
ATF2,gene,
fu:8245e13d,functional_unit,SINGLE
MAPK14,gene,
MAPK11,gene,
MAPK13,gene,
MAPK12,gene,
fu:1431855d,functional_unit,OR
PPP5C,gene,
fu:3f2b969e,functional_unit,SINGLE
MAP2K6,gene,
fu:d1c42509,functional_unit,SINGLE
MAP2K3,gene,
fu:b3e85052,functional_unit,SINGLE
fu:aa15b3c9,functional_unit,OR
fu:f3a5919e,functional_unit,OR
PPM1A,gene,
fu:cd782280,functional_unit,SINGLE
AKT3,gene,
AKT1,gene,
AKT2,gene,
fu:714a42d2,functional_unit,OR
TAOK3,gene,
TAOK1,gene,
TAOK2,gene,
fu:d9b2d414,functional_unit,OR
MAP3K4,gene,
fu:c80f05ca,functional_unit,SINGLE
HSPB1,gene,
fu:eec85482,functional_unit,SINGLE
MAP3K7,gene,
fu:e05da261,functional_unit,SINGLE
MAP3K5,gene,
fu:8c049c08,functional_unit,SINGLE
MAP3K6,gene,
fu:473a031c,functional_unit,SINGLE
MAP3K20,gene,
fu:878684dc,functional_unit,SINGLE
MAP3K12,gene,
MAP3K13,gene,
fu:ef3be919,functional_unit,OR
MAP3K9,gene,
MAP3K10,gene,
MAP3K21,gene,
fu:bdd54cba,functional_unit,OR
MAP4K2,gene,
fu:eda7e7e5,functional_unit,SINGLE
STK3,gene,
STK4,gene,
fu:880e6871,functional_unit,OR
ECSIT,gene,
fu:c418aaec,functional_unit,SINGLE
TAB2,gene,
fu:0e9eb9ac,functional_unit,SINGLE
TAB1,gene,
fu:05b15328,functional_unit,SINGLE
GADD45G,gene,
GADD45A,gene,
GADD45B,gene,
fu:13f83767,functional_unit,OR
TRAF6,gene,
fu:42394fbc,functional_unit,SINGLE
DAXX,gene,
fu:cdbffab0,functional_unit,SINGLE
TRAF2,gene,
fu:074f4d2d,functional_unit,SINGLE
CASP3,gene,
fu:e84ca7e7,functional_unit,SINGLE
CD14,gene,
fu:b9c402ab,functional_unit,SINGLE
TGFBR1,gene,
TGFBR2,gene,
fu:b1049b19,functional_unit,OR
FAS,gene,
fu:69a157b9,functional_unit,SINGLE
IL1R1,gene,
IL1RAP,gene,
fu:4dfa90b8,functional_unit,OR
TNFRSF1A,gene,
fu:21d45d8b,functional_unit,SINGLE
TGFB1,gene,
TGFB2,gene,
TGFB3,gene,
fu:14927460,functional_unit,OR
IL1A,gene,
IL1B,gene,
fu:770758b6,functional_unit,OR
TNF,gene,
fu:7c1069be,functional_unit,SINGLE
MAPKAPK5,gene,
fu:3a106547,functional_unit,SINGLE
RAC1,gene,
RAC2,gene,
RAC3,gene,
CDC42,gene,
fu:896f9a00,functional_unit,OR
PAK1,gene,
PAK2,gene,
fu:6f40e4fc,functional_unit,OR
MAP3K2,gene,
MAP3K3,gene,
fu:c11e22d9,functional_unit,OR
MAPK8IP2,gene,
MAPK8IP1,gene,
fu:cf215815,functional_unit,OR
MAP3K11,gene,
fu:237ec668,functional_unit,SINGLE
MAP2K7,gene,
fu:3f07c98e,functional_unit,SINGLE
MAPK8,gene,
MAPK9,gene,
MAPK10,gene,
fu:33b7b6fc,functional_unit,OR
MAP2K4,gene,
fu:58bebe55,functional_unit,SINGLE
CRK,gene,
CRKL,gene,
fu:3e246c10,functional_unit,OR
ARRB1,gene,
ARRB2,gene,
fu:3f09e812,functional_unit,OR
MECOM,gene,
fu:7569116f,functional_unit,SINGLE
HSPA1A,gene,
HSPA1B,gene,
HSPA1L,gene,
HSPA6,gene,
HSPA8,gene,
fu:e02956df,functional_unit,OR
JUND,gene,
fu:b94eea59,functional_unit,SINGLE
FOS,gene,
JUN,gene,
fu:8152fea6,functional_unit,OR
NFATC3,gene,
fu:30d63758,functional_unit,SINGLE
NFATC1,gene,
fu:3c328f2b,functional_unit,SINGLE
PPP3CA,gene,
PPP3CB,gene,
PPP3CC,gene,
PPP3R1,gene,
PPP3R2,gene,
fu:b6b53271,functional_unit,OR
MAPK8IP3,gene,
fu:2ccf6fd8,functional_unit,SINGLE
FLNA,gene,
fu:fbaf5d85,functional_unit,SINGLE
MAP3K1,gene,
fu:c34f46c5,functional_unit,SINGLE
MAP3K8,gene,
fu:0a4ff4fe,functional_unit,SINGLE
MAP4K1,gene,
fu:6bb6e224,functional_unit,SINGLE
MAP4K3,gene,
fu:f192d19d,functional_unit,SINGLE
fu:1e99f69c,functional_unit,SINGLE
SRF,gene,
fu:1d21067d,functional_unit,SINGLE
MYC,gene,
fu:a646ec5b,functional_unit,SINGLE
fu:84dc7f1d,functional_unit,SINGLE
fu:e3fc7e0d,functional_unit,SINGLE
fu:7dfa4f9b,functional_unit,SINGLE
RPS6KA6,gene,
RPS6KA1,gene,
RPS6KA2,gene,
RPS6KA3,gene,
fu:247097a1,functional_unit,OR
MKNK2,gene,
MKNK1,gene,
fu:a410069e,functional_unit,OR
EFNA4-EFNA3,gene,
CSF1,gene,
EFNA1,gene,
EFNA2,gene,
EFNA3,gene,
EFNA4,gene,
EFNA5,gene,
EGF,gene,
EREG,gene,
FGF1,gene,
FGF2,gene,
FGF3,gene,
FGF4,gene,
FGF5,gene,
FGF6,gene,
FGF7,gene,
FGF8,gene,
FGF9,gene,
FGF10,gene,
VEGFD,gene,
FLT3LG,gene,
FGF20,gene,
FGF21,gene,
GDNF,gene,
FGF22,gene,
ANGPT1,gene,
ANGPT2,gene,
HGF,gene,
IGF1,gene,
IGF2,gene,
INS,gene,
AREG,gene,
KITLG,gene,
NGF,gene,
NRTN,gene,
NTF3,gene,
NTF4,gene,
ANGPT4,gene,
PDGFA,gene,
PDGFB,gene,
PGF,gene,
PDGFC,gene,
PSPN,gene,
BDNF,gene,
TGFA,gene,
VEGFA,gene,
VEGFB,gene,
VEGFC,gene,
PDGFD,gene,
FGF23,gene,
FGF18,gene,
FGF17,gene,
FGF16,gene,
ARTN,gene,
FGF19,gene,
fu:7ea41ee8,functional_unit,OR
TRADD,gene,
fu:376dc931,functional_unit,SINGLE
MYD88,gene,
fu:1e5d49b3,functional_unit,SINGLE
IRAK1,gene,
IRAK4,gene,
fu:477b5371,functional_unit,OR
ARAF,gene,
fu:cda37e19,functional_unit,SINGLE
fu:18b334a0,functional_unit,SINGLE
fu:84a82e18,functional_unit,AND
fu:6db90c5d,functional_unit,AND
MIMAT0000680,mir,
MIMAT0002875,mir,
MIMAT0000456,mir,
MIMAT0002819,mir,
MIMAT0019025,mir,
MIMAT0000075,mir,
MIMAT0000263,mir,
MIMAT0000278,mir,
MIMAT0000232,mir,
MIMAT0000243,mir,
MIMAT0004563,mir,
MIMAT0000646,mir,
MIMAT0019042,mir,
MIMAT0019799,mir,
MIMAT0000073,mir,
MIMAT0000074,mir,
MIMAT0000722,mir,
MIMAT0001629,mir,
MIMAT0002171,mir,
MIMAT0003221,mir,
MIMAT0016854,mir,
MIMAT0016860,mir,
MIMAT0004495,mir,
MIMAT0004597,mir,
MIMAT0002879,mir,
MIMAT0004507,mir,
MIMAT0000245,mir,
MIMAT0000451,mir,
MIMAT0000761,mir,
MIMAT0005573,mir,
MIMAT0005876,mir,
MIMAT0022721,mir,
MIMAT0032029,mir,
MIMAT0016901,mir,
MIMAT0016916,mir,
MIMAT0019844,mir,
MIMAT0021129,mir,
MIMAT0022290,mir,
MIMAT0022496,mir,
MIMAT0024614,mir,
MIMAT0027402,mir,
MIMAT0027506,mir,
MIMAT0027572,mir,
MIMAT0028117,mir,
MIMAT0031012,mir,
MIMAT0000092,mir,
MIMAT0002175,mir,
MIMAT0003280,mir,
MIMAT0022938,mir,
MIMAT0005583,mir,
MIMAT0019862,mir,
MIMAT0021124,mir,
MIMAT0027456,mir,
MIMAT0027470,mir,
MIMAT0027666,mir,
MIMAT0028211,mir,
MIMAT0030998,mir,
MIMAT0004609,mir,
MIMAT0019047,mir,
MIMAT0024613,mir,
MIMAT0027494,mir,
MIMAT0000072,mir,
MIMAT0004592,mir,
MIMAT0004671,mir,
MIMAT0019849,mir,
MIMAT0024617,mir,
MIMAT0004776,mir,
MIMAT0022741,mir,
MIMAT0027550,mir,
MIMAT0004697,mir,
MIMAT0021025,mir,
MIMAT0000080,mir,
MIMAT0000070,mir,
MIMAT0000255,mir,
MIMAT0005459,mir,
MIMAT0006764,mir,
MIMAT0018004,mir,
MIMAT0027377,mir,
MIMAT0027481,mir,
MIMAT0027682,mir,
MIMAT0000093,mir,
MIMAT0004949,mir,
MIMAT0005867,mir,
MIMAT0019213,mir,
MIMAT0015085,mir,
MIMAT0027626,mir,
MIMAT0000423,mir,
MIMAT0005792,mir,
MIMAT0018943,mir,
MIMAT0000066,mir,
MIMAT0000242,mir,
MIMAT0004550,mir,
MIMAT0004589,mir,
MIMAT0000424,mir,
MIMAT0001412,mir,
MIMAT0002876,mir,
MIMAT0026720,mir,
MIMAT0014984,mir,
MIMAT0018118,mir,
MIMAT0018181,mir,
MIMAT0018206,mir,
MIMAT0019006,mir,
MIMAT0019007,mir,
MIMAT0023711,mir,
MIMAT0024618,mir,
MIMAT0025485,mir,
MIMAT0027380,mir,
MIMAT0027443,mir,
MIMAT0027458,mir,
MIMAT0027460,mir,
MIMAT0027476,mir,
MIMAT0027498,mir,
MIMAT0027660,mir,
MIMAT0027668,mir,
MIMAT0028109,mir,
MIMAT0030415,mir,
MIMAT0030417,mir,
MIMAT0030422,mir,
MIMAT0004952,mir,
MIMAT0016903,mir,
MIMAT0025482,mir,
MIMAT0027430,mir,
MIMAT0027583,mir,
MIMAT0027595,mir,
MIMAT0027634,mir,
MIMAT0003271,mir,
MIMAT0000103,mir,
MIMAT0019778,mir,
MIMAT0000427,mir,
MIMAT0015023,mir,
MIMAT0015052,mir,
MIMAT0016853,mir,
MIMAT0016900,mir,
MIMAT0018940,mir,
MIMAT0019023,mir,
MIMAT0019895,mir,
MIMAT0027353,mir,
MIMAT0027408,mir,
MIMAT0027520,mir,
MIMAT0027573,mir,
MIMAT0000086,mir,
MIMAT0019021,mir,
MIMAT0021034,mir,
MIMAT0019853,mir,
MIMAT0000088,mir,
MIMAT0004703,mir,
MIMAT0027582,mir,
MIMAT0003273,mir,
MIMAT0004918,mir,
MIMAT0019233,mir,
MIMAT0019977,mir,
MIMAT0019854,mir,
MIMAT0015089,mir,
MIMAT0019882,mir,
MIMAT0021128,mir,
MIMAT0027491,mir,
MIMAT0027507,mir,
MIMAT0027675,mir,
MIMAT0004491,mir,
MIMAT0004492,mir,
MIMAT0000731,mir,
MIMAT0018971,mir,
MIMAT0019814,mir,
MIMAT0022260,mir,
MIMAT0027426,mir,
MIMAT0027614,mir,
MIMAT0027631,mir,
MIMAT0000069,mir,
MIMAT0016881,mir,
MIMAT0018349,mir,
MIMAT0027543,mir,
MIMAT0001080,mir,
MIMAT0000083,mir,
MIMAT0009206,mir,
MIMAT0019361,mir,
MIMAT0022714,mir,
MIMAT0005871,mir,
MIMAT0022273,mir,
MIMAT0027688,mir,
MIMAT0000454,mir,
MIMAT0003945,mir,
MIMAT0000422,mir,
MIMAT0000756,mir,
MIMAT0019050,mir,
MIMAT0022293,mir,
MIMAT0027358,mir,
MIMAT0027539,mir,
MIMAT0027655,mir,
MIMAT0028116,mir,
MIMAT0003256,mir,
MIMAT0027032,mir,
MIMAT0019928,mir,
MIMAT0023694,mir,
MIMAT0010195,mir,
MIMAT0000064,mir,
MIMAT0000095,mir,
MIMAT0004564,mir,
MIMAT0000432,mir,
MIMAT0000455,mir,
MIMAT0003385,mir,
MIMAT0000720,mir,
MIMAT0004692,mir,
MIMAT0000770,mir,
MIMAT0002833,mir,
MIMAT0002856,mir,
MIMAT0002874,mir,
MIMAT0003163,mir,
MIMAT0003255,mir,
MIMAT0003294,mir,
MIMAT0003298,mir,
MIMAT0004948,mir,
MIMAT0005929,mir,
MIMAT0006767,mir,
MIMAT0026917,mir,
MIMAT0013517,mir,
MIMAT0019200,mir,
MIMAT0014988,mir,
MIMAT0015021,mir,
MIMAT0018083,mir,
MIMAT0018980,mir,
MIMAT0019698,mir,
MIMAT0019721,mir,
MIMAT0019815,mir,
MIMAT0019838,mir,
MIMAT0019896,mir,
MIMAT0019953,mir,
MIMAT0019960,mir,
MIMAT0019978,mir,
MIMAT0022288,mir,
MIMAT0022491,mir,
MIMAT0024597,mir,
MIMAT0027363,mir,
MIMAT0027381,mir,
MIMAT0027391,mir,
MIMAT0027429,mir,
MIMAT0027508,mir,
MIMAT0027535,mir,
MIMAT0027562,mir,
MIMAT0027640,mir,
MIMAT0027647,mir,
MIMAT0028118,mir,
MIMAT0028119,mir,
MIMAT0028212,mir,
MIMAT0028224,mir,
MIMAT0033692,mir,
MIMAT0000261,mir,
MIMAT0000415,mir,
MIMAT0000435,mir,
MIMAT0000437,mir,
MIMAT0002811,mir,
MIMAT0002834,mir,
MIMAT0002838,mir,
MIMAT0004794,mir,
MIMAT0003248,mir,
MIMAT0003299,mir,
MIMAT0022710,mir,
MIMAT0015002,mir,
MIMAT0016851,mir,
MIMAT0018978,mir,
MIMAT0019082,mir,
MIMAT0019847,mir,
MIMAT0021043,mir,
MIMAT0021045,mir,
MIMAT0025478,mir,
MIMAT0027425,mir,
MIMAT0027448,mir,
MIMAT0027549,mir,
MIMAT0027624,mir,
MIMAT0027686,mir,
MIMAT0028115,mir,
MIMAT0030413,mir,
MIMAT0031181,mir,
MIMAT0004515,mir,
MIMAT0005457,mir,
MIMAT0002862,mir,
MIMAT0000265,mir,
MIMAT0000268,mir,
MIMAT0004780,mir,
MIMAT0027370,mir,
MIMAT0027427,mir,
MIMAT0000762,mir,
MIMAT0004762,mir,
MIMAT0025852,mir,
MIMAT0015024,mir,
MIMAT0015026,mir,
MIMAT0004920,mir,
MIMAT0032026,mir,
MIMAT0015008,mir,
MIMAT0018090,mir,
MIMAT0027683,mir,
MIMAT0027503,mir,
MIMAT0027553,mir,
MIMAT0005930,mir,
MIMAT0016863,mir,
MIMAT0022696,mir,
MIMAT0000760,mir,
MIMAT0018944,mir,
MIMAT0019720,mir,
MIMAT0004982,mir,
MIMAT0021033,mir,
MIMAT0027038,mir,
MIMAT0018190,mir,
MIMAT0019015,mir,
MIMAT0002830,mir,
MIMAT0003292,mir,
MIMAT0019715,mir,
MIMAT0019939,mir,
MIMAT0027526,mir,
MIMAT0027662,mir,
MIMAT0019737,mir,
MIMAT0027672,mir,
MIMAT0000617,mir,
MIMAT0000765,mir,
MIMAT0004595,mir,
MIMAT0019908,mir,
MIMAT0025841,mir,
MIMAT0027400,mir,
MIMAT0027544,mir,
MIMAT0030986,mir,
MIMAT0000717,mir,
MIMAT0000098,mir,
MIMAT0000099,mir,
MIMAT0026474,mir,
MIMAT0000244,mir,
MIMAT0000250,mir,
MIMAT0000420,mir,
MIMAT0001339,mir,
MIMAT0002821,mir,
MIMAT0014999,mir,
MIMAT0018074,mir,
MIMAT0018984,mir,
MIMAT0019031,mir,
MIMAT0000084,mir,
MIMAT0022844,mir,
MIMAT0000419,mir,
MIMAT0002877,mir,
MIMAT0017986,mir,
MIMAT0018109,mir,
MIMAT0022736,mir,
MIMAT0027667,mir,
MIMAT0027633,mir,
MIMAT0015004,mir,
MIMAT0019363,mir,
MIMAT0019855,mir,
MIMAT0027516,mir,
MIMAT0027536,mir,
MIMAT0018088,mir,
MIMAT0027416,mir,
MIMAT0000222,mir,
MIMAT0004598,mir,
MIMAT0000685,mir,
MIMAT0000738,mir,
MIMAT0018357,mir,
MIMAT0027396,mir,
MIMAT0027418,mir,
MIMAT0027486,mir,
MIMAT0027620,mir,
MIMAT0027643,mir,
MIMAT0027650,mir,
MIMAT0000443,mir,
MIMAT0005883,mir,
MIMAT0022724,mir,
MIMAT0012735,mir,
MIMAT0014989,mir,
MIMAT0022487,mir,
MIMAT0027412,mir,
MIMAT0027432,mir,
MIMAT0027646,mir,
MIMAT0000251,mir,
MIMAT0000461,mir,
MIMAT0004602,mir,
MIMAT0004493,mir,
MIMAT0004509,mir,
MIMAT0000104,mir,
MIMAT0000273,mir,
MIMAT0000281,mir,
MIMAT0002174,mir,
MIMAT0000751,mir,
MIMAT0004761,mir,
MIMAT0004748,mir,
MIMAT0021039,mir,
MIMAT0022294,mir,
MIMAT0027454,mir,
MIMAT0027587,mir,
MIMAT0015080,mir,
MIMAT0019041,mir,
MIMAT0023252,mir,
MIMAT0027678,mir,
MIMAT0000449,mir,
MIMAT0003322,mir,
MIMAT0017981,mir,
MIMAT0019043,mir,
MIMAT0021123,mir,
MIMAT0015077,mir,
MIMAT0019806,mir,
MIMAT0019885,mir,
MIMAT0021022,mir,
MIMAT0027414,mir,
MIMAT0027591,mir,
MIMAT0000438,mir,
MIMAT0027378,mir,
MIMAT0027528,mir,
MIMAT0009451,mir,
MIMAT0004701,mir,
MIMAT0024610,mir,
MIMAT0019868,mir,
MIMAT0004517,mir,
MIMAT0015035,mir,
MIMAT0004599,mir,
MIMAT0026612,mir,
MIMAT0022939,mir,
MIMAT0011161,mir,
MIMAT0018072,mir,
MIMAT0018937,mir,
MIMAT0018985,mir,
MIMAT0019033,mir,
MIMAT0019077,mir,
MIMAT0019723,mir,
MIMAT0019820,mir,
MIMAT0025462,mir,
MIMAT0028112,mir,
MIMAT0027027,mir,
MIMAT0018945,mir,
MIMAT0000684,mir,
MIMAT0000715,mir,
MIMAT0001413,mir,
MIMAT0004809,mir,
MIMAT0004983,mir,
MIMAT0022720,mir,
MIMAT0007883,mir,
MIMAT0019208,mir,
MIMAT0016889,mir,
MIMAT0019913,mir,
MIMAT0025481,mir,
MIMAT0025844,mir,
MIMAT0027457,mir,
MIMAT0027687,mir,
MIMAT0028111,mir,
MIMAT0028214,mir,
MIMAT0030426,mir,
MIMAT0019927,mir,
MIMAT0025854,mir,
MIMAT0002858,mir,
MIMAT0002867,mir,
MIMAT0004911,mir,
MIMAT0011163,mir,
MIMAT0011775,mir,
MIMAT0018201,mir,
MIMAT0019066,mir,
MIMAT0019965,mir,
MIMAT0019971,mir,
MIMAT0027673,mir,
MIMAT0014987,mir,
MIMAT0019210,mir,
MIMAT0022256,mir,
MIMAT0019761,mir,
MIMAT0022282,mir,
MIMAT0000252,mir,
MIMAT0000065,mir,
MIMAT0022693,mir,
MIMAT0002806,mir,
MIMAT0015030,mir,
MIMAT0019014,mir,
MIMAT0019776,mir,
MIMAT0027367,mir,
MIMAT0027467,mir,
MIMAT0027604,mir,
MIMAT0031010,mir,
MIMAT0019707,mir,
MIMAT0000425,mir,
MIMAT0018202,mir,
MIMAT0019703,mir,
MIMAT0000063,mir,
MIMAT0000271,mir,
MIMAT0019692,mir,
MIMAT0000231,mir,
MIMAT0004587,mir,
MIMAT0018926,mir,
MIMAT0018082,mir,
MIMAT0018927,mir,
MIMAT0018932,mir,
MIMAT0021041,mir,
MIMAT0003288,mir,
MIMAT0018119,mir,
MIMAT0004784,mir,
MIMAT0004927,mir,
MIMAT0018956,mir,
MIMAT0027103,mir,
MIMAT0004984,mir,
MIMAT0000256,mir,
MIMAT0000259,mir,
MIMAT0005913,mir,
MIMAT0015028,mir,
MIMAT0018952,mir,
MIMAT0023702,mir,
MIMAT0004767,mir,
MIMAT0018949,mir,
MIMAT0019921,mir,
MIMAT0027357,mir,
MIMAT0027439,mir,
MIMAT0004513,mir,
MIMAT0019841,mir,
MIMAT0027415,mir,
MIMAT0019938,mir,
MIMAT0027635,mir,
MIMAT0002173,mir,
MIMAT0002827,mir,
MIMAT0002829,mir,
MIMAT0000430,mir,
MIMAT0026613,mir,
MIMAT0000450,mir,
MIMAT0000690,mir,
MIMAT0004945,mir,
MIMAT0005939,mir,
MIMAT0025486,mir,
MIMAT0027602,mir,
MIMAT0027681,mir,
MIMAT0018087,mir,
MIMAT0027420,mir,
MIMAT0019069,mir,
MIMAT0003222,mir,
MIMAT0017999,mir,
MIMAT0019704,mir,
MIMAT0027384,mir,
MIMAT0005892,mir,
MIMAT0019836,mir,
MIMAT0000226,mir,
MIMAT0015087,mir,
MIMAT0000772,mir,
MIMAT0000279,mir,
MIMAT0004450,mir,
MIMAT0027578,mir,
MIMAT0030429,mir,
MIMAT0002853,mir,
MIMAT0026615,mir,
MIMAT0019062,mir,
MIMAT0027612,mir,
MIMAT0000417,mir,
MIMAT0026480,mir,
MIMAT0027421,mir,
MIMAT0030425,mir,
MIMAT0011777,mir,
MIMAT0018081,mir,
MIMAT0018122,mir,
MIMAT0019065,mir,
MIMAT0000726,mir,
MIMAT0022471,mir,
MIMAT0000100,mir,
MIMAT0000414,mir,
MIMAT0000681,mir,
MIMAT0001340,mir,
MIMAT0004792,mir,
MIMAT0010214,mir,
MIMAT0005794,mir,
MIMAT0013802,mir,
MIMAT0019890,mir,
MIMAT0027437,mir,
MIMAT0004680,mir,
MIMAT0005878,mir,
MIMAT0022492,mir,
MIMAT0027599,mir,
MIMAT0000076,mir,
MIMAT0002807,mir,
MIMAT0016852,mir,
MIMAT0021125,mir,
MIMAT0029310,mir,
MIMAT0035542,mir,
MIMAT0027369,mir,
MIMAT0000077,mir,
MIMAT0003276,mir,
MIMAT0022713,mir,
MIMAT0022838,mir,
MIMAT0015045,mir,
MIMAT0016880,mir,
MIMAT0021085,mir,
MIMAT0027394,mir,
MIMAT0027538,mir,
MIMAT0005793,mir,
MIMAT0019072,mir,
MIMAT0027610,mir,
MIMAT0000264,mir,
MIMAT0018107,mir,
MIMAT0030987,mir,
MIMAT0004768,mir,
MIMAT0004909,mir,
MIMAT0022255,mir,
MIMAT0003284,mir,
MIMAT0015065,mir,
MIMAT0017992,mir,
MIMAT0019073,mir,
MIMAT0027485,mir,
MIMAT0027537,mir,
MIMAT0030018,mir,
MIMAT0030430,mir,
MIMAT0027399,mir,
MIMAT0015083,mir,
MIMAT0016859,mir,
MIMAT0005920,mir,
MIMAT0022694,mir,
MIMAT0019719,mir,
MIMAT0009197,mir,
MIMAT0004603,mir,
MIMAT0000691,mir,
MIMAT0002826,mir,
MIMAT0003310,mir,
MIMAT0005592,mir,
MIMAT0018193,mir,
MIMAT0018200,mir,
MIMAT0019784,mir,
MIMAT0021080,mir,
MIMAT0027392,mir,
MIMAT0027409,mir,
MIMAT0027417,mir,
MIMAT0027442,mir,
MIMAT0027637,mir,
MIMAT0027685,mir,
MIMAT0004488,mir,
MIMAT0010313,mir,
MIMAT0019008,mir,
MIMAT0021021,mir,
MIMAT0027365,mir,
MIMAT0027466,mir,
MIMAT0027483,mir,
MIMAT0027621,mir,
MIMAT0006765,mir,
MIMAT0026623,mir,
MIMAT0015032,mir,
MIMAT0019027,mir,
MIMAT0002828,mir,
MIMAT0021086,mir,
MIMAT0018444,mir,
MIMAT0015378,mir,
MIMAT0019809,mir,
MIMAT0025857,mir,
MIMAT0015022,mir,
MIMAT0028223,mir,
MIMAT0019048,mir,
MIMAT0014992,mir,
MIMAT0010364,mir,
MIMAT0002822,mir,
MIMAT0013518,mir,
MIMAT0016855,mir,
MIMAT0018359,mir,
MIMAT0019051,mir,
MIMAT0019700,mir,
MIMAT0019827,mir,
MIMAT0019899,mir,
MIMAT0027356,mir,
MIMAT0027395,mir,
MIMAT0027463,mir,
MIMAT0027488,mir,
MIMAT0027505,mir,
MIMAT0004689,mir,
MIMAT0019762,mir,
MIMAT0003315,mir,
